Iteration,Timestep,StratumId,SecondaryStratumId,TertiaryStratumId,DistributionTypeId,ExternalVariableTypeId,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeId,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax,ValueDistributionRelativeFrequency
,,,,,Mangrove_recruitment Distribution,,,,0.747164,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.781403,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.801527,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.815719,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.846029,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.848766,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.850848,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.861726,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.892956,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.904294,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.910351,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.913928,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.915839,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.94438,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.945668,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.962674,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.972774,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.976542,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.999155,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.058605,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.116916,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.119713,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.123919,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.131519,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.132041,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.178347,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.189899,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.196532,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.203198,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.214078,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.239331,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.243203,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.244469,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.252366,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.304487,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.305941,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.32633,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.402127,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.406885,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.46887,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.577569,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.616901,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.645416,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.765973,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.794871,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.861757,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.952555,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,1.990263,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,2.06638,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,3.568342,,,,,,1
,,,,,Sedimentation Distribution,,,,0,,,,,,2
,,,,,Sedimentation Distribution,,,,0.217174,,,,,,1
,,,,,Sedimentation Distribution,,,,0.395766,,,,,,1
,,,,,Sedimentation Distribution,,,,0.447206,,,,,,1
,,,,,Sedimentation Distribution,,,,0.484884,,,,,,1
,,,,,Sedimentation Distribution,,,,0.493939,,,,,,1
,,,,,Sedimentation Distribution,,,,0.647382,,,,,,1
,,,,,Sedimentation Distribution,,,,0.649988,,,,,,1
,,,,,Sedimentation Distribution,,,,0.655906,,,,,,1
,,,,,Sedimentation Distribution,,,,0.722514,,,,,,1
,,,,,Sedimentation Distribution,,,,0.784481,,,,,,1
,,,,,Sedimentation Distribution,,,,0.803757,,,,,,1
,,,,,Sedimentation Distribution,,,,0.862881,,,,,,1
,,,,,Sedimentation Distribution,,,,0.954579,,,,,,1
,,,,,Sedimentation Distribution,,,,1.051864,,,,,,1
,,,,,Sedimentation Distribution,,,,1.070562,,,,,,1
,,,,,Sedimentation Distribution,,,,1.17443,,,,,,1
,,,,,Sedimentation Distribution,,,,1.221403,,,,,,1
,,,,,Sedimentation Distribution,,,,1.698328,,,,,,1
,,,,,Sedimentation Distribution,,,,1.706992,,,,,,1
,,,,,Sedimentation Distribution,,,,1.850046,,,,,,1
,,,,,Sedimentation Distribution,,,,1.853035,,,,,,1
,,,,,Sedimentation Distribution,,,,1.894851,,,,,,1
,,,,,Sedimentation Distribution,,,,3.358031,,,,,,1
,,,,,Urbanization Distribution,,,,0,,,,,,18
,,,,,Urbanization Distribution,,,,0.076403,,,,,,1
,,,,,Urbanization Distribution,,,,0.111277,,,,,,1
,,,,,Urbanization Distribution,,,,0.263796,,,,,,1
,,,,,Urbanization Distribution,,,,0.294262,,,,,,1
,,,,,Urbanization Distribution,,,,0.359448,,,,,,1
,,,,,Urbanization Distribution,,,,0.389077,,,,,,1
,,,,,Urbanization Distribution,,,,0.405664,,,,,,1
,,,,,Urbanization Distribution,,,,0.452886,,,,,,1
,,,,,Urbanization Distribution,,,,0.48578,,,,,,1
,,,,,Urbanization Distribution,,,,0.505003,,,,,,1
,,,,,Urbanization Distribution,,,,0.53354,,,,,,1
,,,,,Urbanization Distribution,,,,0.542909,,,,,,1
,,,,,Urbanization Distribution,,,,0.559949,,,,,,1
,,,,,Urbanization Distribution,,,,0.566961,,,,,,1
,,,,,Urbanization Distribution,,,,0.623581,,,,,,1
,,,,,Urbanization Distribution,,,,0.672755,,,,,,1
,,,,,Urbanization Distribution,,,,0.691102,,,,,,1
